	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
theta[0, 0]	4.705	1.186	3.123	6.805	0.605	0.491	6.0	10.0	
theta[0, 1]	2.467	4.67	-7.169	9.688	2.505	1.946	4.0	10.0	
theta[0, 2]	-1.573	4.754	-7.454	9.386	1.913	1.422	7.0	12.0	
theta[1, 0]	-6.322	1.379	-8.601	-4.332	0.24	0.171	12.0	14.0	
theta[1, 1]	-9.287	0.878	-11.04	-8.056	0.596	0.497	2.0	6.0	
theta[1, 2]	-0.589	0.418	-1.338	-0.034	0.117	0.085	13.0	13.0	
theta[2, 0]	-0.189	0.536	-0.945	0.645	0.403	0.353	2.0	12.0	
theta[2, 1]	-6.1	2.498	-10.316	-2.928	1.587	1.289	2.0	13.0	
theta[2, 2]	-11.816	0.876	-12.81	-10.113	0.637	0.552	2.0	6.0	
